"","Type","Group","Score"
"average.benevolent.female","Benevolent","Female","0.819047619047619"
"average.benevolent.male","Benevolent","Male","1.36938775510204"
"average.benevolent.other","Benevolent","Other","0.466666666666667"
"average.hostile.female","Hostile","Female","1.11688311688312"
"average.hostile.male","Hostile","Male","1.71614100185529"
"average.hostile.other","Hostile","Other","0.272727272727273"
"average.benevolent.anon","Benevolent","Anon","1.04418604651163"
"average.benevolent.name","Benevolent","Name","1.36"
"average.hostile.anon","Hostile","Anon","1.36575052854123"
"average.hostile.name","Hostile","Name","1.65454545454545"
"average.benevolent.ind","Benevolent","Industry","1.14285714285714"
"average.benevolent.gamer","Benevolent","Gamer","1.17727272727273"
"average.hostile.ind","Hostile","Industry","1.97402597402597"
"average.hostile.gamer","Hostile","Gamer","1.43250688705234"
"average.benevolent","Benevolent","","1.17397260273973"
"average.hostile","Hostile","","1.48443337484433"
